Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4680,263,254,321,333,6.07208431522792,0.38022813688212925,0.331
4704,262,254,322,331,5.972845405279413,0.38167938931297707,0.331
4560,259,249,303,336,8.944410488812034,3.088803088803089,0.297
4570,258,249,302,336,7.51156781443423,5.426356589147287,0.297
4320,256,249,292,305,2.288818359375,1.5625,0.267
4360,256,247,298,309,3.35693359375,1.171875,0.272
4354,259,251,292,313,3.2796171792310784,2.3166023166023164,0.272
4349,260,252,294,306,3.106508875739645,3.076923076923077,0.274
4369,261,250,308,322,4.403928304047209,3.8314176245210727,0.287
4360,262,253,309,324,3.787658061884506,2.2900763358778624,0.291
4359,262,254,315,331,4.224695530563487,3.0534351145038165,0.294
4390,263,248,276,292,2.891468721537105,5.323193916349809,0.249
4414,266,252,276,291,3.250607722313302,1.8796992481203008,0.253
4405,272,235,294,324,5.271410034602076,4.044117647058823,0.243
4354,253,247,642,692,10.623506069458982,1.185770750988142,0.308
4350,258,244,534,652,6.910642389279491,3.10077519379845,0.286
4350,268,260,292,702,9.328358208955224,3.731343283582089,0.299
4320,268,263,305,625,11.277567386945867,1.4925373134328357,0.288
4304,275,273,309,378,14.677685950413222,3.272727272727273,0.289
4320,260,255,290,305,2.6627218934911245,1.153846153846154,0.268
4715,254,246,306,356,9.45501891003782,1.574803149606299,0.29
4680,260,246,327,354,8.431952662721894,3.8461538461538463,0.291
4365,263,246,296,318,2.602321849383394,2.6615969581749046,0.278
4350,266,251,298,316,2.685284640171858,4.511278195488721,0.281
4365,267,250,297,322,2.524933720489837,3.7453183520599254,0.283
4635,256,253,278,284,2.13623046875,0.390625,0.266
4659,255,251,278,285,2.3068050749711646,0.39215686274509803,0.268
4480,272,258,306,323,8.650519031141869,0.3676470588235294,0.297
4770,273,258,282,302,5.635390250774866,0.3663003663003663,0.289
4770,273,258,281,301,4.696158542312388,0.7326007326007326,0.287
4680,271,254,297,319,6.672022439781593,0.0,0.308
4669,270,251,297,319,5.212620027434842,0.0,0.306
4320,311,213,325,486,4.65255735569318,0.6430868167202572,0.367
4690,268,251,297,320,4.594564490977946,1.4925373134328357,0.307
4704,278,246,308,326,7.11660887117644,0.3597122302158274,0.308
4665,273,245,308,322,7.245501750996257,0.7326007326007326,0.304
4680,269,250,317,326,2.6257238014952806,4.4609665427509295,0.317
4694,267,254,293,315,5.610963823310749,0.37453183520599254,0.291
4710,272,252,293,317,5.1362456747404845,1.1029411764705883,0.293
4329,275,259,279,294,4.892561983471075,2.181818181818182,0.251
4314,276,258,279,292,5.119722747321991,1.8115942028985508,0.253
4675,255,248,289,309,2.6143790849673203,0.39215686274509803,0.279
