Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4705,324,299,341,376,3.715134887974394,0.6172839506172839,0.4
4693,312,295,333,345,2.7736686390532546,0.9615384615384616,0.379
4690,313,299,332,349,3.1642662474864496,2.5559105431309903,0.385
4710,308,295,350,419,2.95159386068477,1.6233766233766231,0.426
4704,307,302,351,366,1.8037326655985741,3.257328990228013,0.418
4695,307,302,346,354,1.2732230580695816,1.6286644951140066,0.384
4704,307,299,325,343,3.076955723668156,0.32573289902280134,0.373
4684,307,296,351,365,4.986790310772529,0.6514657980456027,0.374
4675,312,300,336,359,3.2873109796186717,0.0,0.381
4700,311,308,327,345,1.7576327788174233,0.3215434083601286,0.392
4684,305,297,372,386,3.009943563558183,0.6557377049180327,0.421
4720,304,299,351,367,2.488746537396122,0.0,0.406
4720,317,292,336,352,2.9854013872165113,1.2618296529968454,0.362
4715,312,304,402,422,4.725509533201841,0.3205128205128205,0.427
4660,312,303,336,357,1.6436554898093358,1.6025641025641024,0.391
4694,312,298,325,346,1.849112426035503,0.641025641025641,0.364
4694,310,301,349,364,5.5150884495317385,1.2903225806451613,0.401
4680,310,304,340,354,2.2892819979188346,0.0,0.399
4745,307,298,342,355,1.2732230580695816,1.9543973941368076,0.392
4695,309,304,345,354,1.885191818267509,3.8834951456310676,0.395
4709,311,305,387,408,4.445777028773483,1.607717041800643,0.412
4680,312,303,346,352,2.7736686390532546,0.3205128205128205,0.396
4695,309,300,349,366,1.989924697060148,0.3236245954692557,0.408
4665,312,291,331,351,1.438198553583169,0.9615384615384616,0.378
4705,305,297,372,400,5.3748992206396125,1.3114754098360655,0.401
4695,307,301,348,354,1.061019215057985,0.32573289902280134,0.396
4685,304,298,341,352,2.813365650969529,0.3289473684210526,0.383
4680,318,300,354,380,6.625529053439343,0.0,0.405
4694,319,294,338,343,0.687886321871837,0.3134796238244514,0.378
4689,314,303,377,393,1.014239928597509,1.5923566878980893,0.398
4680,303,297,370,385,4.03010598089512,0.33003300330033003,0.39
4710,306,300,339,361,2.8835063437139565,0.32679738562091504,0.395
4680,312,304,334,359,1.3354700854700852,1.282051282051282,0.393
4699,313,296,330,365,3.5725586665169597,0.0,0.38
4705,317,300,348,363,1.393187314034372,0.31545741324921134,0.382
4699,305,297,359,375,3.6549314700349367,0.32786885245901637,0.386
4684,304,299,341,366,1.6230955678670362,2.631578947368421,0.393
4669,306,298,342,367,0.9611687812379853,0.32679738562091504,0.401
4706,308,306,337,344,2.635351661325687,0.3246753246753247,0.385
4734,314,303,369,413,3.955535721530285,0.9554140127388535,0.441
4705,303,299,381,397,5.01040203030204,0.33003300330033003,0.408
4675,310,301,335,373,2.809573361082206,0.6451612903225806,0.396
4685,308,306,361,386,1.8974531961544947,2.5974025974025974,0.407
4660,313,306,338,353,2.449754514183058,0.0,0.39
4685,313,304,361,370,1.8373158856372935,0.6389776357827476,0.41
4685,306,298,349,351,1.815541031227306,0.0,0.392
4650,307,298,350,376,2.0159365086101713,0.9771986970684038,0.404
4690,312,301,336,350,0.8218277449046679,1.282051282051282,0.388
4699,304,296,325,338,1.8395083102493075,0.0,0.371
4734,308,294,344,385,1.8974531961544947,0.3246753246753247,0.403
4690,314,298,367,387,1.927055864335267,1.910828025477707,0.434
4691,312,305,350,361,2.157297830374753,0.3205128205128205,0.402
4739,312,301,341,350,1.1300131492439185,2.2435897435897436,0.388
4735,311,304,357,372,3.1017049037954525,0.0,0.41
4665,310,297,349,363,3.850156087408949,0.3225806451612903,0.393
4709,313,301,369,385,2.041462095152548,0.3194888178913738,0.423
4660,309,302,322,369,2.9325206061939024,0.9708737864077669,0.386
4649,307,294,343,353,2.3342422731275665,0.32573289902280134,0.38
4725,307,307,349,366,4.88068838926673,0.32573289902280134,0.409
4680,308,301,341,357,3.162421993590825,1.948051948051948,0.401
4680,315,308,340,357,5.341395817586294,1.5873015873015872,0.4
4695,312,306,355,372,1.7463839579224194,1.282051282051282,0.433
4704,311,293,329,344,1.2406819615181812,2.8938906752411575,0.374
4695,305,296,335,354,1.934963719430261,0.6557377049180327,0.392
4725,306,295,335,369,1.815541031227306,0.9803921568627451,0.395
4680,312,293,336,357,2.6709401709401703,0.3205128205128205,0.392
4719,306,301,349,356,1.4951514374813104,0.6535947712418301,0.415
4720,306,303,341,360,2.2427271562219664,1.9607843137254901,0.395
4700,317,297,393,443,2.587347868920977,2.5236593059936907,0.411
