Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4004,375,357,425,436,1.1377777777777778,0.26666666666666666,0.507
4016,363,357,400,425,0.9106846071534277,2.479338842975207,0.47
4000,370,356,396,405,1.4609203798392987,0.5405405405405406,0.455
3994,375,359,394,431,3.9822222222222226,0.5333333333333333,0.479
4010,376,344,397,439,1.0610004526935266,0.0,0.453
4015,366,354,403,414,2.3888440980620507,0.546448087431694,0.447
3995,365,356,404,413,1.5762807280915743,0.273972602739726,0.476
4054,378,358,476,496,3.569328966154363,0.7936507936507936,0.549
4009,383,356,395,430,1.6361145007464768,0.7832898172323759,0.482
3985,371,364,463,479,2.397541430242442,3.7735849056603774,0.515
3950,375,351,383,404,1.5644444444444443,0.26666666666666666,0.439
3904,371,351,395,410,1.1624443298145177,0.2695417789757413,0.444
3950,372,359,407,439,1.8065672332061509,0.2688172043010753,0.481
3960,368,361,413,425,1.1814744801512287,0.8152173913043478,0.468
3960,369,353,374,404,0.8813096261043911,1.3550135501355014,0.436
4035,379,350,389,406,1.1138880960171538,0.0,0.449
4010,369,353,409,422,2.2767165341030102,0.27100271002710025,0.481
4059,380,349,407,440,3.32409972299169,0.7894736842105263,0.495
4074,364,357,391,401,2.641589180050719,0.27472527472527475,0.456
4020,365,357,442,450,2.401951585663351,2.73972602739726,0.489
4048,363,357,409,416,1.9731499821657599,0.27548209366391185,0.483
4000,382,356,404,432,1.918807050245333,1.0471204188481675,0.473
3980,372,352,406,419,0.9394149612671984,0.0,0.462
3980,375,358,397,408,3.1288888888888886,0.26666666666666666,0.454
3984,366,358,405,412,2.0902385858042942,0.546448087431694,0.457
4030,373,352,429,432,2.2281479777760205,0.8042895442359249,0.472
3975,374,362,391,414,0.8579027138322516,2.406417112299465,0.458
3974,370,353,393,410,1.5339663988312637,0.5405405405405406,0.455
3915,372,363,400,423,1.3007284079084287,2.4193548387096775,0.466
3936,379,356,383,399,0.8354160720128654,0.0,0.442
3944,387,355,390,407,1.3353898336771963,1.03359173126615,0.437
3965,372,365,400,436,1.734304543877905,0.2688172043010753,0.482
3939,368,360,413,431,1.5506852551984875,0.0,0.479
