Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
3965,324,313,356,376,2.4767565919829293,3.7037037037037033,0.368
4025,321,312,350,364,1.2616337186168611,2.1806853582554515,0.355
4035,323,308,350,378,2.3962656595960854,0.30959752321981426,0.359
3975,322,317,360,373,0.9644689633887581,0.0,0.363
3985,324,315,349,366,1.333638164913885,0.6172839506172839,0.356
4005,321,314,367,383,2.1350724468900726,1.557632398753894,0.386
3960,318,310,346,356,1.1866619200189867,0.628930817610063,0.346
3995,319,315,381,387,2.4567368638279894,0.0,0.374
3995,321,314,354,367,2.620316184819635,0.6230529595015576,0.362
3974,318,309,349,368,1.4833274000237333,0.628930817610063,0.346
3975,316,313,346,369,4.00576830636116,1.89873417721519,0.349
3960,326,310,338,358,1.4114193232714818,0.6134969325153374,0.337
3990,313,307,379,395,5.818166971184763,0.3194888178913738,0.346
4010,319,308,357,379,0.8844252709780761,1.8808777429467085,0.366
4016,320,316,353,369,0.68359375,0.3125,0.366
3995,321,313,338,358,1.6498287089605108,3.7383177570093453,0.351
4020,326,313,358,378,1.599608566374346,3.9877300613496933,0.376
4035,318,317,345,362,1.6811043866935642,0.0,0.35
3991,323,315,358,376,1.821161901293025,2.1671826625387,0.366
4025,323,311,372,385,2.108713780444555,0.0,0.375
4015,323,312,343,357,2.3962656595960854,1.5479876160990713,0.35
3980,320,316,367,380,1.3671875,0.3125,0.376
4024,314,307,344,352,1.3185119071767617,0.6369426751592357,0.336
4000,320,316,349,356,0.68359375,0.625,0.357
3980,322,313,345,359,1.060915859727634,1.2422360248447204,0.356
4039,317,305,370,404,3.681995044233697,0.31545741324921134,0.398
3976,317,306,372,384,1.9902675914776742,1.2618296529968454,0.369
4054,327,297,344,375,1.9639199842886403,3.3639143730886847,0.367
3964,323,314,344,353,2.6838175387476157,0.6191950464396285,0.351
4045,319,315,357,365,3.832509507571663,0.3134796238244514,0.36
4039,323,308,391,398,2.012863154060712,0.30959752321981426,0.405
3965,315,312,362,387,2.1164021164021167,0.9523809523809524,0.365
3954,320,313,383,390,3.515625,1.5625,0.373
3975,325,309,428,433,1.3254437869822484,1.8461538461538463,0.413
3795,321,309,344,371,2.620316184819635,6.230529595015576,0.34
4045,320,307,378,397,4.980468749999999,0.3125,0.387
4030,317,306,391,420,2.587347868920977,0.6309148264984227,0.376
3935,317,313,366,371,2.587347868920977,1.5772870662460567,0.339
3970,326,307,352,362,2.0700816741315067,1.2269938650306749,0.347
3960,322,315,355,371,1.4467034450831373,1.2422360248447204,0.36
3960,324,314,345,359,2.5720164609053495,0.0,0.349
3950,324,313,356,375,1.8099375095259866,0.0,0.373
3939,320,314,369,383,3.90625,1.5625,0.349
3950,321,317,348,369,3.0085111751632843,0.3115264797507788,0.349
3984,321,317,361,379,0.7763899806872991,0.9345794392523363,0.375
3955,317,310,334,352,3.1844281463642785,0.0,0.333
3960,320,309,345,363,0.68359375,0.3125,0.348
3979,323,316,343,393,1.2460581429899646,0.0,0.361
3925,317,311,345,351,1.393187314034372,0.31545741324921134,0.338
3740,321,310,343,369,3.0085111751632843,4.984423676012461,0.334
3950,319,311,351,365,1.375772643743674,0.3134796238244514,0.349
3955,324,314,353,369,3.2388355433622915,0.0,0.353
3939,317,304,389,427,5.174695737841954,1.8927444794952681,0.35
3944,323,316,364,379,2.3962656595960854,0.6191950464396285,0.366
3940,320,311,348,357,2.83203125,0.625,0.354
3960,326,311,348,363,3.10512251119726,0.3067484662576687,0.345
3930,323,315,365,381,3.0672200442829896,0.30959752321981426,0.378
3905,317,313,342,372,3.2839415259381624,0.9463722397476341,0.351
3940,317,315,370,383,1.791240832329907,0.9463722397476341,0.366
3940,332,294,363,389,1.9959355494266222,1.8072289156626504,0.327
3930,321,317,349,356,2.5232674372337223,0.6230529595015576,0.346
3900,314,308,340,352,2.6370238143535234,1.2738853503184715,0.327
3940,322,314,356,366,1.8324910304386406,0.3105590062111801,0.353
3990,323,316,370,385,1.5336100221414948,0.6191950464396285,0.368
3968,328,301,388,429,4.089827483640691,0.9146341463414633,0.371
3994,317,309,347,372,1.5922140731821393,0.31545741324921134,0.361
3950,319,314,349,357,3.5377010839123044,0.6269592476489028,0.339
3970,318,310,354,380,3.065543293382382,0.3144654088050315,0.352
3954,331,308,340,366,3.194567409936017,0.0,0.345
3985,321,314,361,373,2.814413679991459,1.2461059190031152,0.363
3990,321,306,360,379,1.5527799613745983,0.3115264797507788,0.349
3845,320,310,337,355,1.171875,0.3125,0.336
4000,323,307,351,373,1.9170125276768684,1.5479876160990713,0.357
3980,326,299,350,364,1.9759870525800745,4.9079754601226995,0.33
3920,329,305,352,371,1.4781829436165592,0.911854103343465,0.37
