Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
3735,298,291,329,335,5.0673393090401335,0.6711409395973155,0.282
4010,298,292,324,337,3.3782262060267554,0.33557046979865773,0.312
4040,297,287,344,351,1.7005067510118013,2.356902356902357,0.312
4024,302,288,319,351,3.5086180430682865,0.9933774834437087,0.311
4045,303,286,340,370,1.5249049657440992,1.9801980198019802,0.336
4019,294,287,322,346,1.8510805682817342,1.7006802721088436,0.309
3990,302,285,327,346,1.4253760799964914,4.304635761589404,0.315
4110,299,285,327,340,2.013400297535822,0.6688963210702341,0.324
4030,297,295,357,376,3.5143806187577233,0.6734006734006733,0.322
3899,303,291,371,389,5.228245596836912,0.9900990099009901,0.323
3809,306,293,322,349,1.3883549062326455,0.32679738562091504,0.3
3764,306,291,322,350,1.2815583749839805,0.0,0.296
3895,305,292,370,388,5.159903251814029,1.639344262295082,0.324
4075,298,283,313,334,2.3647583442187288,0.33557046979865773,0.311
4075,298,283,331,345,2.7025809648214043,1.342281879194631,0.315
4080,296,290,342,364,2.62509130752374,0.6756756756756757,0.341
3990,305,292,383,401,5.052405267401236,0.9836065573770493,0.336
4084,303,294,368,395,1.1981396159417923,1.3201320132013201,0.376
4120,300,295,349,361,4.333333333333334,1.3333333333333335,0.336
4095,296,284,332,344,1.027209642074507,0.6756756756756757,0.326
3960,308,294,324,357,3.478664192949907,6.8181818181818175,0.314
3905,303,291,317,340,2.940888148220762,1.3201320132013201,0.302
4040,298,287,339,351,3.6034412864285397,0.0,0.312
3994,305,293,335,355,1.719967750604676,0.9836065573770493,0.33
3990,293,288,325,333,2.9120898321471422,0.0,0.298
4020,303,286,321,342,1.4159831824766635,2.6402640264026402,0.302
4039,301,297,321,332,3.0904736150815113,0.0,0.311
4034,305,293,339,359,2.902445579145391,0.6557377049180327,0.33
4020,302,288,326,338,3.1796851015306347,0.6622516556291391,0.301
4030,297,291,336,353,1.4737725175435614,0.0,0.327
4005,305,289,316,350,2.472453641494222,0.6557377049180327,0.314
4005,296,294,342,354,2.62509130752374,3.3783783783783785,0.322
4034,304,292,323,344,2.7051592797783934,1.3157894736842104,0.319
3990,300,290,337,346,2.111111111111111,0.33333333333333337,0.302
4024,304,293,322,330,0.5410318559556786,1.3157894736842104,0.305
4020,299,293,326,336,3.2438115904743796,0.33444816053511706,0.315
4050,300,293,354,379,4.0,0.6666666666666667,0.335
4095,295,290,357,363,3.6771042803792007,0.6779661016949152,0.308
4165,301,291,350,371,5.077206653348197,0.0,0.35
4130,299,297,350,365,2.796389302133086,0.33444816053511706,0.355
4024,298,290,324,345,2.8151885050222965,0.6711409395973155,0.316
4020,297,283,318,329,0.7935698171388407,0.33670033670033667,0.305
4109,302,289,346,362,2.0832419630717953,0.33112582781456956,0.34
4035,307,280,328,354,1.4854269010811787,0.9771986970684038,0.308
4110,295,290,333,343,1.8385521401896003,0.6779661016949152,0.328
4060,298,285,331,345,2.252150804017837,0.33557046979865773,0.322
4096,301,287,317,347,3.421595788125958,0.6644518272425249,0.312
4120,301,296,330,346,1.1037405768148256,0.6644518272425249,0.338
4084,299,284,321,340,2.572678157962439,1.3377926421404682,0.311
4055,295,287,342,384,2.528009192760701,0.3389830508474576,0.336
4139,304,291,335,346,1.8395083102493075,0.3289473684210526,0.339
4110,298,283,318,331,3.490833746227648,1.342281879194631,0.296
4135,297,288,314,349,2.4940765681506423,1.3468013468013467,0.306
4098,297,295,325,337,1.3604054008094413,1.0101010101010102,0.318
4110,301,292,321,340,1.5452368075407557,2.6578073089700998,0.322
4099,302,286,360,367,3.727906670760054,0.0,0.346
4079,298,284,335,346,2.0269357236160532,0.33557046979865773,0.336
4119,304,286,341,353,3.2461911357340725,0.6578947368421052,0.332
4164,303,296,381,411,3.703340631092812,3.9603960396039604,0.377
4150,298,291,325,342,4.7295166884374575,0.33557046979865773,0.321
4080,294,293,351,372,2.545235781387385,0.0,0.355
4145,302,291,336,351,3.727906670760054,0.9933774834437087,0.33
4075,298,296,363,371,2.8151885050222965,1.6778523489932886,0.332
4080,298,296,356,363,3.6034412864285397,0.33557046979865773,0.339
4030,302,289,343,380,1.6446647076882592,0.33112582781456956,0.331
