Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4044,211,205,233,242,2.246131039284832,0.0,0.161
3994,221,211,252,271,5.118650314285129,7.239819004524888,0.177
4000,215,210,241,255,4.542996214169821,0.46511627906976744,0.169
3976,222,217,257,266,4.261017774531288,3.153153153153153,0.186
3968,218,210,242,271,2.5250399797996805,0.45871559633027525,0.17
4089,220,216,260,285,1.2396694214876032,2.272727272727273,0.182
4105,216,207,246,264,2.5720164609053495,0.4629629629629629,0.176
4110,211,206,257,269,3.5938096628557314,2.3696682464454977,0.181
4134,216,200,244,257,4.715363511659808,0.4629629629629629,0.18
4100,216,210,273,282,3.8580246913580245,0.9259259259259258,0.194
4090,228,220,242,253,5.193905817174515,0.43859649122807015,0.176
4095,213,197,240,261,4.6287112345434105,0.4694835680751174,0.165
4154,223,216,254,268,3.8207082386535016,0.4484304932735426,0.188
4169,213,205,234,241,2.4245630276179773,0.0,0.167
4165,221,212,255,273,6.551872402284967,5.88235294117647,0.186
4169,222,207,251,263,3.855206557909261,3.6036036036036037,0.173
4165,215,213,243,256,5.191995673336939,0.0,0.177
4140,213,203,235,246,5.069540875928498,0.0,0.166
4155,210,203,242,255,3.6281179138321997,0.9523809523809524,0.169
4244,232,203,250,271,1.8579072532699168,3.0172413793103448,0.195
4129,230,226,260,269,10.586011342155011,1.7391304347826086,0.202
4160,224,222,246,253,7.374043367346939,0.4464285714285714,0.183
4139,218,213,237,251,4.41881996464944,0.9174311926605505,0.175
4145,214,212,242,256,2.183596820683029,0.0,0.176
4150,223,220,240,249,4.423977960546161,0.8968609865470852,0.178
4155,223,214,252,271,4.2228880532486075,4.932735426008969,0.194
4139,231,218,249,271,8.620528101047583,0.4329004329004329,0.187
4154,208,200,232,235,5.778476331360947,1.4423076923076923,0.158
4159,222,215,241,251,8.927846765684604,4.954954954954955,0.178
4095,228,211,271,287,2.693136349646045,1.3157894736842104,0.204
4150,216,207,258,268,3.6436899862825785,1.3888888888888888,0.188
4113,207,204,245,257,2.3337767509160074,3.3816425120772946,0.17
4140,206,201,237,246,2.592138750117824,1.9417475728155338,0.164
4159,211,203,236,251,8.984524157139328,0.47393364928909953,0.174
4160,211,207,243,254,3.3691965589272477,0.9478672985781991,0.171
4150,218,212,262,275,2.7354599781163205,0.0,0.195
4229,221,218,257,269,2.252206138285457,1.809954751131222,0.191
4185,223,211,232,244,5.831607311629029,0.4484304932735426,0.171
4100,215,205,253,265,4.11032990805841,0.0,0.177
4100,220,214,280,289,10.330578512396695,0.45454545454545453,0.182
4115,207,207,244,248,3.7340428014656117,2.898550724637681,0.167
4109,207,204,251,260,2.1003990758244067,4.3478260869565215,0.17
4164,217,212,261,273,6.158550829280724,0.4608294930875576,0.192
4164,223,216,257,271,3.619618331355949,0.4484304932735426,0.198
4140,228,216,234,250,2.693136349646045,0.0,0.175
4175,220,217,288,296,3.925619834710744,0.45454545454545453,0.22
4160,225,210,246,262,7.506172839506172,0.0,0.189
