Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
3985,247,242,284,293,4.7533970397810155,0.8097165991902834,0.22
4010,252,247,280,291,3.3068783068783065,2.380952380952381,0.221
4004,243,239,298,303,2.37091229318024,4.526748971193416,0.231
4070,251,243,276,291,6.984016126728148,1.1952191235059761,0.228
4120,249,235,275,292,1.9354526539894519,1.2048192771084338,0.226
3975,253,238,330,341,3.5932446999640675,3.9525691699604746,0.232
4034,255,242,304,321,6.459054209919262,1.5686274509803921,0.234
4030,257,245,276,283,4.087874154037154,0.0,0.226
4005,262,233,309,318,2.913583124526543,1.5267175572519083,0.236
4024,258,238,294,307,3.60555255092843,0.0,0.238
4014,253,243,277,287,3.5932446999640675,0.3952569169960474,0.223
4009,252,239,283,293,2.0471151423532374,2.380952380952381,0.228
4009,253,244,299,304,3.2807886390976266,0.7905138339920948,0.257
4020,251,247,296,301,2.6983698671449656,3.5856573705179287,0.238
4079,249,247,303,315,3.3870421444815406,3.2128514056224895,0.252
4069,249,238,276,285,2.74189125981839,0.8032128514056224,0.219
4058,247,239,266,298,4.589486797029947,8.502024291497975,0.222
4049,251,244,298,303,2.5396422279011444,1.9920318725099602,0.23
4099,253,243,277,304,3.5932446999640675,2.766798418972332,0.234
4094,248,243,288,304,1.6259105098855358,0.8064516129032258,0.233
4105,243,240,297,303,2.0322105370116343,2.4691358024691357,0.241
4084,245,240,284,306,2.665556018325698,1.6326530612244898,0.232
4099,244,236,285,303,4.367105616769685,0.819672131147541,0.244
4120,249,242,289,316,5.322494798470992,0.4016064257028112,0.24
4080,252,246,281,297,3.779289493575208,1.1904761904761905,0.23
4120,249,239,272,283,2.580603538652602,2.4096385542168677,0.22
4139,253,243,274,285,5.467981065162712,1.185770750988142,0.225
4120,247,244,292,317,3.4421150977724593,2.0242914979757085,0.247
4104,248,235,282,297,2.7640478668054107,4.032258064516129,0.23
4080,248,236,272,296,2.1136836628511966,0.8064516129032258,0.22
4134,251,246,281,303,5.396739734289931,0.398406374501992,0.24
4110,252,241,278,292,6.298815822625346,0.7936507936507936,0.237
4080,249,242,277,283,5.161207077305204,1.2048192771084338,0.231
4075,248,232,274,284,2.438865764828304,0.4032258064516129,0.215
4075,244,239,283,290,2.3515184090298304,0.4098360655737705,0.226
4090,250,242,269,283,2.72,3.5999999999999996,0.225
4045,247,242,304,312,2.2947433985149734,1.214574898785425,0.251
4064,253,241,311,321,6.249121217328814,1.185770750988142,0.245
4049,249,237,291,303,2.903178980984177,0.0,0.239
4080,246,240,276,300,3.304911097891466,0.0,0.227
4040,257,241,303,317,4.542082393374615,0.38910505836575876,0.247
4054,259,251,281,289,8.944410488812034,2.7027027027027026,0.235
4194,247,240,323,351,5.572948253536363,1.6194331983805668,0.249
4165,247,233,283,300,2.1308331557639035,0.8097165991902834,0.234
4129,250,244,279,283,2.08,0.8,0.228
4159,251,237,273,291,4.2856462595831815,0.796812749003984,0.238
4160,256,247,275,297,5.035400390625,0.0,0.236
4159,251,247,299,309,1.5872763924382152,1.1952191235059761,0.244
4115,257,245,264,277,3.179457675362231,0.0,0.224
4120,249,242,303,321,2.419315817486815,2.8112449799196786,0.263
4165,252,231,269,275,1.889644746787604,0.0,0.206
4115,253,246,282,290,2.6558765173647454,1.185770750988142,0.23
4155,247,237,280,316,2.950384369519251,1.6194331983805668,0.236
4140,249,233,266,278,2.903178980984177,0.8032128514056224,0.212
4154,245,236,277,295,2.9987505206164102,0.0,0.226
4170,248,241,276,287,4.389958376690947,0.4032258064516129,0.231
4149,250,237,271,287,4.48,0.4,0.226
4145,245,241,272,286,1.665972511453561,0.8163265306122449,0.221
4160,245,236,275,306,1.665972511453561,1.6326530612244898,0.224
4175,242,240,307,330,1.8782870022539446,0.4132231404958678,0.265
4115,251,243,278,287,5.079284455802289,0.398406374501992,0.234
4110,247,238,277,288,4.0977560687767385,1.214574898785425,0.231
4130,252,243,280,291,0.7873519778281682,1.1904761904761905,0.229
4120,265,256,284,311,10.679957280170878,0.7547169811320755,0.256
