Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4025,295,283,345,350,1.6087331226659003,0.3389830508474576,0.323
4055,300,291,325,354,7.666666666666666,1.3333333333333335,0.332
4044,296,278,340,364,2.3968224981738495,2.027027027027027,0.328
4039,295,276,314,330,3.7920137891410515,2.0338983050847457,0.292
3830,287,281,320,334,2.6709077444184097,0.0,0.281
3994,288,284,312,324,2.0495756172839505,0.0,0.292
3990,285,276,322,326,1.3542628501077256,2.456140350877193,0.29
3954,290,275,323,343,3.329369797859691,0.3448275862068966,0.291
4035,286,274,315,347,3.545405643307741,1.048951048951049,0.297
4064,284,278,308,315,1.8597500495933346,0.7042253521126761,0.279
4105,282,279,313,342,4.023942457622856,0.7092198581560284,0.298
4090,288,274,317,351,3.375771604938272,0.3472222222222222,0.302
4089,295,284,329,339,2.528009192760701,0.3389830508474576,0.318
4074,296,265,332,351,3.880569758948138,1.0135135135135136,0.321
3950,285,280,333,351,1.2311480455524775,0.3508771929824561,0.29
3990,292,281,333,405,3.0493525989866765,2.3972602739726026,0.312
3980,291,283,311,317,1.6532634239085513,1.0309278350515463,0.284
4009,288,283,338,350,3.375771604938272,0.3472222222222222,0.315
4029,297,274,318,336,2.607443684884762,0.6734006734006733,0.294
3990,291,286,313,324,2.36180489129793,0.0,0.295
4025,291,274,322,354,2.952256114122412,0.3436426116838488,0.306
3990,299,285,322,329,4.58607845549826,0.33444816053511706,0.303
4020,283,278,305,316,2.8718051168075514,0.35335689045936397,0.273
4034,288,275,310,327,3.1346450617283943,0.0,0.28
3965,290,280,312,340,2.259215219976219,1.3793103448275863,0.296
3990,299,276,332,340,1.565978009194528,1.0033444816053512,0.306
4035,284,280,323,327,1.735766712953779,1.7605633802816902,0.295
3995,294,280,318,334,2.7766208524226017,1.0204081632653061,0.295
4015,287,278,337,345,4.249171411574744,0.0,0.292
4039,285,278,325,334,6.032625423207142,0.7017543859649122,0.289
4045,298,280,364,377,2.252150804017837,0.6711409395973155,0.317
4050,291,284,316,327,2.4798951358628263,0.6872852233676976,0.295
4060,289,277,358,375,3.7116413836041238,0.34602076124567477,0.298
4065,289,274,323,333,1.91568587540858,0.34602076124567477,0.291
4110,284,280,320,337,4.587383455663558,1.056338028169014,0.295
4060,285,275,329,339,1.477377654662973,1.7543859649122806,0.294
4080,291,279,329,357,2.4798951358628263,3.436426116838488,0.309
4055,292,282,330,345,2.8147870144492395,0.684931506849315,0.312
4085,283,277,311,329,1.748055288491553,1.0600706713780919,0.298
4104,292,279,326,356,1.5246762994933383,0.0,0.313
