Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4830,215,207,241,259,4.3266630611141155,4.186046511627907,0.201
4329,213,191,251,260,3.526637131080694,0.4694835680751174,0.175
4459,271,164,335,377,11.710080200433,1.4760147601476015,0.357
4309,213,204,269,277,3.747051951773237,3.286384976525822,0.205
4351,220,211,243,263,3.3057851239669422,0.45454545454545453,0.192
4329,243,226,254,291,9.144947416552354,4.11522633744856,0.208
4350,223,215,245,264,3.4185284240583966,0.4484304932735426,0.194
4310,239,228,255,291,10.328950823690061,2.092050209205021,0.208
4339,220,219,299,771,7.851239669421488,1.8181818181818181,0.255
4330,233,228,254,268,9.76256700252353,0.0,0.209
4400,218,212,240,250,2.1041999831664002,3.211009174311927,0.186
4410,219,212,240,251,2.5020329017326577,1.36986301369863,0.188
4414,220,214,245,260,3.3057851239669422,1.3636363636363635,0.19
4324,245,186,297,579,5.331112036651396,6.938775510204081,0.261
4374,221,216,252,269,5.118650314285129,0.0,0.202
4400,220,217,254,267,4.958677685950413,0.45454545454545453,0.206
4379,220,211,250,272,8.677685950413224,0.9090909090909091,0.191
4365,219,211,250,272,10.216634348741685,0.45662100456621,0.19
4355,217,209,249,258,8.919280511372083,0.4608294930875576,0.188
4739,215,210,228,249,4.11032990805841,0.9302325581395349,0.198
4309,215,210,239,249,3.461330448891293,0.0,0.174
4309,214,212,238,246,3.0570355489562404,0.9345794392523363,0.174
4335,216,211,239,247,3.8580246913580245,0.4629629629629629,0.176
4305,220,214,291,317,4.958677685950413,0.45454545454545453,0.226
4335,213,201,253,270,6.6124446207763015,0.9389671361502347,0.192
4334,213,200,253,269,5.069540875928498,0.9389671361502347,0.192
4320,223,215,254,273,4.021798145951054,3.1390134529147984,0.2
4345,237,230,255,292,9.791878082216169,5.063291139240507,0.231
4360,237,232,259,296,11.038117110861863,0.8438818565400843,0.232
4844,320,115,351,372,9.765625,4.375,0.433
4319,211,205,259,268,8.086071741425394,0.0,0.186
4325,221,211,246,260,5.528142339427939,0.4524886877828055,0.189
4321,221,213,246,258,4.504412276570914,0.904977375565611,0.189
4315,263,165,306,334,7.0840983677659075,0.7604562737642585,0.291
4429,218,212,276,291,2.5250399797996805,0.9174311926605505,0.204
4425,219,211,275,286,3.7530493525989863,0.91324200913242,0.203
4350,227,212,296,316,3.49317859845912,1.3215859030837005,0.228
4319,224,217,254,297,11.957908163265305,0.8928571428571428,0.213
4315,224,218,255,297,11.957908163265305,1.3392857142857142,0.212
4345,223,211,264,273,2.8152587021657385,3.1390134529147984,0.199
4304,220,204,246,261,8.057851239669422,0.45454545454545453,0.182
4320,255,169,285,309,5.997693194925029,5.490196078431373,0.251
4345,216,206,250,270,2.7863511659807956,0.0,0.191
4335,218,205,251,272,2.9458799764329604,0.0,0.192
4310,215,211,238,256,1.9469983775013522,0.9302325581395349,0.178
4470,222,212,277,310,9.130752373995616,5.8558558558558556,0.23
4314,350,103,381,397,9.061224489795917,0.8571428571428572,0.453
4339,211,207,262,267,3.3691965589272477,1.4218009478672986,0.194
4325,211,205,261,268,3.8184227667842143,2.843601895734597,0.193
4459,243,158,310,323,4.403122830191874,2.05761316872428,0.313
4329,219,209,244,257,10.633639832363794,0.0,0.188
4309,220,211,243,257,9.090909090909092,0.9090909090909091,0.187
4315,213,212,265,268,3.0858074896956076,3.755868544600939,0.191
4315,213,212,265,271,2.865392669003064,1.8779342723004695,0.193
4315,336,121,369,388,9.300595238095239,4.166666666666666,0.431
4379,217,203,275,288,4.884367899084712,1.8433179723502304,0.187
4379,217,202,276,291,5.096731720784047,2.3041474654377883,0.188
4705,239,171,397,413,11.729486528597189,2.510460251046025,0.473
4714,240,173,397,410,11.284722222222223,2.083333333333333,0.473
4310,219,203,265,272,3.9615520944100417,3.1963470319634704,0.201
4320,219,202,266,273,3.3360438689768768,5.93607305936073,0.203
4950,310,125,354,409,9.989594172736734,0.0,0.495
4319,379,88,425,460,10.651554918164033,6.596306068601583,0.566
4319,306,104,424,463,13.456362937331795,8.823529411764707,0.568
4330,216,208,238,241,4.929698216735254,0.4629629629629629,0.174
4384,222,198,356,363,9.739469198928658,1.8018018018018018,0.394
4550,225,210,275,287,7.506172839506172,14.222222222222221,0.216
4349,205,199,265,272,6.424747174301011,0.0,0.189
4315,215,212,239,247,5.624661979448351,0.46511627906976744,0.176
4339,217,211,267,277,2.5483658603920234,4.147465437788019,0.204
4375,218,213,241,261,4.41881996464944,0.0,0.184
4315,216,212,242,251,7.716049382716049,0.0,0.18
4329,221,217,280,283,4.709158289142319,0.0,0.222
4370,204,199,238,244,5.526720492118416,1.4705882352941175,0.175
4360,221,215,238,250,4.709158289142319,0.904977375565611,0.183
4319,205,204,265,280,3.8072575847709698,0.0,0.195
4345,223,215,248,272,8.244686199199663,0.4484304932735426,0.197
4324,209,208,238,241,3.2050548293308307,0.0,0.173
4360,220,212,275,296,4.338842975206612,1.8181818181818181,0.207
4310,206,195,253,287,5.184277500235648,4.854368932038835,0.179
4314,209,192,251,286,5.03651473180559,0.0,0.184
4345,215,192,254,262,3.8939967550027044,2.7906976744186047,0.176
4340,215,202,225,238,3.461330448891293,0.0,0.164
4310,247,225,248,267,8.195512137553477,4.8582995951417,0.195
4314,216,212,297,323,5.144032921810699,2.314814814814815,0.215
4315,213,206,238,311,8.375763186316648,0.9389671361502347,0.183
4345,212,209,235,246,6.897472410110359,0.9433962264150944,0.176
4314,204,197,267,278,5.28642829680892,2.450980392156863,0.201
4315,212,197,241,268,6.4524741901032385,2.8301886792452833,0.166
4315,230,214,243,275,4.536862003780719,0.0,0.187
4325,219,214,258,277,3.7530493525989863,0.91324200913242,0.202
4349,213,202,235,259,3.3062223103881507,2.3474178403755865,0.181
4329,214,210,255,279,7.424229190322299,0.9345794392523363,0.176
4315,226,223,241,266,6.460960137833817,5.3097345132743365,0.191
4305,218,210,237,257,6.102179951182561,0.45871559633027525,0.182
4325,222,215,255,262,7.10169629088548,4.054054054054054,0.193
4355,204,202,257,266,3.8446751249519413,4.901960784313726,0.188
4370,217,208,238,255,5.946187007581388,0.4608294930875576,0.182
4314,222,217,265,278,6.695885074263453,0.45045045045045046,0.203
4325,205,200,265,272,4.521118381915526,0.975609756097561,0.194
4355,224,215,283,296,4.384566326530613,6.25,0.207
4316,211,202,262,278,3.8184227667842143,0.9478672985781991,0.197
4334,204,197,246,262,5.046136101499423,0.49019607843137253,0.178
4314,219,211,254,265,2.7105356435437122,0.0,0.198
4314,219,216,248,254,3.1275411271658218,0.0,0.189
4350,224,211,241,257,5.580357142857143,0.4464285714285714,0.19
4325,210,200,243,273,7.029478458049887,0.9523809523809524,0.183
4325,209,205,281,299,6.867974634280351,1.4354066985645932,0.211
4310,220,203,234,256,5.1652892561983474,0.45454545454545453,0.173
4329,203,201,243,249,9.706617486471403,0.0,0.175
4360,220,212,238,252,4.338842975206612,4.090909090909091,0.186
4310,204,197,235,246,4.565551710880431,1.4705882352941175,0.164
4360,211,207,234,246,4.9414882864266305,0.9478672985781991,0.173
4360,208,195,232,246,4.622781065088758,6.25,0.161
4314,215,210,231,240,2.1633315305570577,3.255813953488372,0.168
4310,211,209,270,284,4.716875182498146,1.4218009478672986,0.21
4310,206,202,232,243,7.540767273070034,0.9708737864077669,0.164
4350,216,205,240,245,2.7863511659807956,4.166666666666666,0.165
4334,209,200,225,237,2.74718985371214,0.0,0.163
4315,203,197,245,258,3.639981557426776,0.0,0.175
4310,216,204,230,239,3.8580246913580245,4.62962962962963,0.164
4314,213,203,300,345,2.865392669003064,1.4084507042253522,0.216
4324,216,209,254,258,3.2150205761316872,3.7037037037037033,0.186
4310,208,206,260,276,3.929363905325444,3.8461538461538463,0.193
4314,214,208,241,265,6.9875098261856925,0.0,0.182
4345,207,200,281,294,4.900931176923616,6.763285024154589,0.202
4310,229,218,248,295,7.246238630079518,0.0,0.198
4310,215,210,245,263,5.408328826392644,0.0,0.178
4305,216,213,249,254,6.4300411522633745,0.0,0.176
4334,219,216,238,252,3.7530493525989863,0.45662100456621,0.185
4315,222,209,237,253,4.869734599464329,0.0,0.175
4315,223,210,238,244,5.2283375897363715,0.4484304932735426,0.175
4375,207,205,239,251,5.367686527106817,0.0,0.176
4325,224,216,238,259,9.36702806122449,0.4464285714285714,0.187
4319,214,208,232,245,3.7121145951611494,3.7383177570093453,0.175
4305,218,213,266,275,2.9458799764329604,1.3761467889908259,0.207
4349,221,212,245,256,2.252206138285457,1.809954751131222,0.188
4345,217,211,283,290,6.583278472679393,2.7649769585253456,0.207
4315,222,216,244,252,4.869734599464329,0.45045045045045046,0.178
4340,203,197,228,238,4.853308743235702,0.0,0.163
4345,220,212,254,260,4.752066115702479,3.6363636363636362,0.196
4305,204,199,228,242,3.6043829296424454,4.901960784313726,0.158
4314,208,206,228,249,6.240754437869823,1.4423076923076923,0.166
4324,204,198,231,247,3.8446751249519413,2.450980392156863,0.166
4305,219,215,240,248,7.714601447009029,0.91324200913242,0.182
4310,215,211,268,302,4.3266630611141155,0.46511627906976744,0.203
4310,208,206,251,257,3.4670857988165675,1.4423076923076923,0.179
4315,224,203,242,263,3.786670918367347,0.0,0.176
4305,212,204,282,298,7.787468850124599,0.4716981132075472,0.226
4305,219,213,247,258,4.587060319843205,1.82648401826484,0.184
4350,216,208,232,236,5.144032921810699,1.3888888888888888,0.171
4315,212,207,268,272,3.1149875400498397,2.8301886792452833,0.199
4330,203,199,241,252,5.338639617559271,0.49261083743842365,0.166
4315,213,196,229,237,3.96746677246578,7.511737089201878,0.161
4375,203,199,224,236,4.853308743235702,3.9408866995073892,0.162
4329,221,201,272,295,6.551872402284967,1.809954751131222,0.191
4315,203,201,237,241,7.522628552015337,3.9408866995073892,0.168
4345,209,205,222,229,5.49437970742428,0.9569377990430622,0.159
4314,213,207,260,270,2.4245630276179773,1.8779342723004695,0.197
4304,223,212,244,250,5.429427497033925,2.242152466367713,0.183
4305,222,217,302,311,4.058112166220274,0.9009009009009009,0.226
4305,211,201,233,246,7.412232429639945,0.47393364928909953,0.171
4359,228,208,309,328,5.578639581409664,2.1929824561403506,0.208
4305,220,214,261,274,6.8181818181818175,0.45454545454545453,0.204
4369,222,217,254,264,3.855206557909261,0.45045045045045046,0.195
4310,212,204,245,270,6.229975080099679,0.4716981132075472,0.183
4310,213,204,263,284,6.6124446207763015,2.3474178403755865,0.178
4310,213,202,236,248,5.510370517313584,1.4084507042253522,0.168
4345,215,209,298,315,5.191995673336939,1.3953488372093024,0.213
4315,215,207,262,271,3.461330448891293,0.46511627906976744,0.194
4315,213,208,227,238,8.155348365624105,0.9389671361502347,0.168
4345,206,203,236,244,2.3564897728343857,3.8834951456310676,0.169
4320,217,207,233,238,4.03491261228737,3.686635944700461,0.17
4335,204,200,242,251,5.28642829680892,0.49019607843137253,0.167
4309,205,196,236,257,4.28316478286734,0.975609756097561,0.17
4330,207,204,247,255,8.168218628206025,0.4830917874396135,0.181
4315,209,206,251,254,3.4339873171401756,3.349282296650718,0.18
4345,205,198,255,263,3.331350386674599,0.975609756097561,0.188
4375,222,215,270,285,3.2464897329762197,0.9009009009009009,0.205
4320,214,200,236,246,6.114071097912481,0.9345794392523363,0.168
4339,221,199,273,298,6.142380377142155,1.809954751131222,0.192
4315,215,211,300,314,4.975662520281233,0.46511627906976744,0.213
4305,213,198,226,253,4.4082964138508665,2.8169014084507045,0.17
4305,208,203,237,243,3.0048076923076925,5.288461538461538,0.168
4470,210,202,237,263,7.482993197278912,3.3333333333333335,0.178
4309,221,214,246,253,5.118650314285129,0.904977375565611,0.184
4315,211,201,260,269,1.7969048314278657,1.4218009478672986,0.196
4345,227,212,315,325,5.433833375380853,3.0837004405286343,0.208
4305,222,216,304,315,4.058112166220274,0.9009009009009009,0.227
4469,224,205,263,643,11.75860969387755,5.803571428571429,0.207
4439,222,214,248,483,10.551091632172712,2.7027027027027026,0.194
4439,222,216,276,590,10.956902848794742,1.8018018018018018,0.232
