Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4070,272,263,293,305,1.4868079584775085,0.3676470588235294,0.261
3960,272,248,357,374,4.054930795847751,2.2058823529411766,0.299
4020,273,257,315,332,3.756926833849911,0.7326007326007326,0.271
4030,274,260,339,352,5.194736000852469,0.36496350364963503,0.28
4034,270,260,294,305,2.880658436213992,0.0,0.258
3951,268,260,291,304,1.2530630429939853,1.8656716417910446,0.247
4045,271,261,299,316,1.770128402391035,0.36900369003690037,0.266
4009,270,265,322,331,3.5665294924554183,0.0,0.266
4020,267,256,311,334,2.524933720489837,4.119850187265917,0.261
3975,267,261,294,302,2.6652078160726056,1.4981273408239701,0.25
4029,270,258,310,330,5.349794238683127,3.3333333333333335,0.276
4000,268,255,296,305,1.8099799509913121,0.0,0.254
4025,270,261,326,331,3.9780521262002746,0.7407407407407408,0.261
4045,277,261,315,324,1.6942746549544503,1.8050541516245486,0.281
4004,274,264,311,330,4.395545846875167,0.0,0.277
4060,270,263,305,312,2.743484224965706,0.7407407407407408,0.266
4064,272,261,324,335,3.784602076124567,2.5735294117647056,0.275
4089,272,265,307,312,1.0813148788927336,1.1029411764705883,0.27
4104,270,267,304,321,3.292181069958848,6.296296296296296,0.276
4095,273,264,314,324,3.220223000442781,0.3663003663003663,0.272
4049,264,259,301,317,2.152203856749311,0.3787878787878788,0.266
4100,273,265,302,322,1.07340766681426,2.564102564102564,0.269
4080,272,265,310,329,1.351643598615917,1.4705882352941175,0.281
4069,267,259,293,313,1.5430150514104557,0.7490636704119851,0.262
4060,281,268,307,331,6.45888476589709,0.3558718861209964,0.281
4075,266,264,299,317,1.5546384758889704,0.37593984962406013,0.27
4134,264,258,297,314,2.0087235996326904,1.893939393939394,0.263
4105,268,259,284,300,3.3415014479839606,1.1194029850746268,0.252
4080,269,263,303,311,2.349331822390514,0.37174721189591076,0.263
4085,269,258,313,330,1.6583518746285983,1.858736059479554,0.274
4115,268,263,304,318,1.8099799509913121,0.0,0.262
4110,272,267,330,349,3.3791089965397925,4.044117647058823,0.303
4110,272,266,315,330,5.271410034602076,0.3676470588235294,0.277
4115,272,262,301,310,3.649437716262976,0.7352941176470588,0.266
4201,273,257,308,316,6.172094084181996,2.197802197802198,0.28
4069,268,261,297,314,1.9492091779906437,0.3731343283582089,0.262
4125,271,261,299,323,2.4509470186952798,0.0,0.283
4114,264,259,302,321,5.308769513314967,0.3787878787878788,0.267
4060,267,260,291,310,1.5430150514104557,1.1235955056179776,0.258
4075,275,264,299,316,1.5867768595041327,1.090909090909091,0.269
4020,267,264,334,340,5.751237918893517,1.1235955056179776,0.283
4029,273,258,295,307,2.6835191670356506,0.7326007326007326,0.244
4089,268,258,324,345,3.0630429939852974,0.7462686567164178,0.274
4070,263,260,295,306,2.746895285460249,0.0,0.245
4080,272,264,334,337,6.352724913494809,2.2058823529411766,0.291
4030,265,262,317,324,2.135991456034176,1.1320754716981132,0.264
4059,268,257,319,349,2.227667631989307,0.0,0.293
4145,278,261,303,324,2.9760364370374206,0.3597122302158274,0.283
4149,267,261,292,308,3.36657829398645,0.0,0.261
4140,275,258,295,308,3.041322314049587,1.090909090909091,0.267
4120,271,268,300,318,2.859438188477826,1.8450184501845017,0.271
4140,270,264,310,318,2.1947873799725652,2.2222222222222223,0.277
4139,269,262,326,330,4.698663644781028,0.0,0.274
4149,265,256,286,303,2.847988608045568,0.0,0.255
4169,269,264,293,306,3.8694877074667295,0.37174721189591076,0.265
4120,263,260,301,304,3.614335901921381,1.1406844106463878,0.257
4115,266,258,297,309,2.685284640171858,1.1278195488721803,0.263
4129,268,253,296,321,2.5061260859879706,2.2388059701492535,0.262
4105,271,268,306,317,4.765730314129709,0.0,0.275
4124,272,270,295,310,7.434039792387543,0.7352941176470588,0.267
4139,266,258,288,305,2.8266154107072192,1.8796992481203008,0.256
4165,268,259,298,305,1.8099799509913121,1.4925373134328357,0.265
4165,266,258,285,299,3.957261574990106,3.007518796992481,0.251
4160,275,264,304,316,4.760330578512397,0.0,0.278
4109,273,263,316,333,1.8784634169249554,0.7326007326007326,0.294
4149,270,262,293,343,3.5665294924554183,1.4814814814814816,0.277
4220,273,263,296,307,1.4759355418696078,0.0,0.273
4124,271,265,315,327,1.3616372326084882,0.7380073800738007,0.285
4129,268,260,330,344,1.392292269993317,0.7462686567164178,0.281
4135,265,263,307,317,1.851192595229619,0.37735849056603776,0.277
4145,267,259,292,303,2.6652078160726056,3.3707865168539324,0.255
4159,266,262,323,346,1.5546384758889704,0.7518796992481203,0.278
4114,276,254,360,374,4.200798151648813,0.7246376811594203,0.315
4135,268,255,309,332,2.784584539986634,3.731343283582089,0.265
4114,274,267,293,305,5.061537641856252,0.36496350364963503,0.26
4160,269,264,300,309,0.8291759373142992,0.7434944237918215,0.268
4144,277,262,343,352,3.7795357687445423,0.36101083032490977,0.296
4105,275,261,303,324,3.43801652892562,0.36363636363636365,0.263
4155,275,257,293,321,2.3801652892561984,0.0,0.273
4159,277,261,322,338,3.2582204902970195,0.36101083032490977,0.285
4145,266,254,309,328,2.402623099101136,1.1278195488721803,0.28
4170,269,262,299,317,2.6257238014952806,0.37174721189591076,0.267
4165,276,259,346,362,6.301197227473219,0.36231884057971014,0.291
4176,270,259,309,315,1.9204389574759944,0.0,0.257
4110,272,260,292,305,3.1087802768166095,1.4705882352941175,0.258
4120,267,258,291,307,3.5068523895692185,0.0,0.257
4130,273,253,283,296,3.086047042090998,2.564102564102564,0.246
4139,270,265,290,304,2.743484224965706,0.3703703703703704,0.26
4141,275,258,321,337,3.1735537190082654,0.36363636363636365,0.282
4190,271,267,295,307,1.0893097860867906,1.4760147601476015,0.268
4105,267,258,301,308,1.9638373381587624,0.37453183520599254,0.258
4140,274,260,287,315,4.528744205871384,0.0,0.265
4140,264,256,291,308,3.8739669421487606,0.3787878787878788,0.255
4164,267,259,292,306,2.3846596249070684,0.0,0.264
4175,273,264,300,314,1.4759355418696078,2.197802197802198,0.278
4130,266,262,289,308,4.946576968737633,0.37593984962406013,0.259
4110,275,263,327,358,2.3801652892561984,1.090909090909091,0.302
4140,266,254,305,331,4.52258465713155,0.0,0.271
4165,271,261,294,321,2.0424558489127325,0.7380073800738007,0.276
4140,293,267,298,321,4.892310918007198,0.6825938566552902,0.279
4115,275,261,334,358,1.71900826446281,1.4545454545454546,0.288
4169,270,259,290,307,4.252400548696845,0.3703703703703704,0.263
4165,264,260,284,308,3.7304866850321394,0.0,0.255
4145,264,260,288,300,1.2913223140495866,3.0303030303030303,0.252
4135,271,260,316,324,3.4040930815212214,0.0,0.288
4180,265,257,313,331,4.271982912068352,7.547169811320755,0.277
4144,273,265,317,331,2.817695125387433,2.564102564102564,0.291
4135,269,253,314,336,1.381959895523832,0.7434944237918215,0.279
4160,264,256,316,335,6.6000918273645555,1.1363636363636365,0.264
4160,268,260,296,319,4.316106036979282,1.1194029850746268,0.26
