Length,SED,MinSED,LED,MaxLED,Sweep,CompSweep,Vol
4345,246,237,276,287,3.9658933174697597,0.40650406504065045,0.237
4339,260,231,271,310,2.9585798816568047,0.38461538461538464,0.233
4349,242,239,277,295,2.0490403660952126,0.8264462809917356,0.24
4369,256,235,271,310,3.35693359375,0.0,0.236
4320,251,246,276,284,2.3809145886573226,0.398406374501992,0.242
4319,277,263,297,763,13.945183698471245,3.9711191335740073,0.301
4320,249,241,279,293,3.3870421444815406,0.0,0.246
4320,250,243,280,294,3.3600000000000003,0.0,0.248
4325,251,242,279,293,3.8094633418517168,0.398406374501992,0.249
4345,251,231,268,288,2.6983698671449656,0.796812749003984,0.23
4320,269,230,441,706,7.186191456723925,5.204460966542751,0.247
4394,269,235,295,322,5.942427550752476,4.83271375464684,0.241
4320,247,237,453,766,6.8842301955449186,5.263157894736842,0.271
4335,252,243,302,650,5.511463844797179,1.5873015873015872,0.288
4324,248,242,291,663,3.739594172736732,1.6129032258064515,0.253
4350,244,237,335,655,7.726417629669443,17.21311475409836,0.256
4675,247,242,306,318,2.1308331557639035,2.42914979757085,0.292
4700,247,239,305,323,2.950384369519251,3.643724696356275,0.294
4325,262,253,275,325,7.283957811316358,0.0,0.263
4330,259,250,276,334,7.45367540734336,0.0,0.264
4394,249,242,287,302,3.709617586813116,6.827309236947792,0.255
4404,251,242,286,310,4.2856462595831815,5.9760956175298805,0.257
4499,296,220,357,679,14.152666179693208,6.081081081081082,0.375
4379,268,230,616,745,13.78369347293384,4.477611940298507,0.262
4350,267,260,288,494,12.344120411283646,0.0,0.274
4314,285,257,286,492,10.587873191751306,9.473684210526317,0.266
4385,250,237,447,642,5.12,4.8,0.258
4470,271,211,371,531,5.718876376955652,0.0,0.242
4359,377,179,380,698,8.161599673536013,6.10079575596817,0.459
4724,253,239,273,285,4.218156821696948,2.371541501976284,0.247
4324,281,261,298,621,13.42434872911944,3.9145907473309607,0.297
4320,276,269,299,726,14.177693761814744,5.434782608695652,0.304
4320,282,260,292,496,11.820330969267138,3.900709219858156,0.277
4380,255,241,298,330,8.458285274894271,0.0,0.249
4405,254,241,302,333,7.905015810031619,0.7874015748031495,0.256
4684,249,245,314,352,9.193400106449896,0.0,0.331
4355,257,243,275,289,4.542082393374615,4.669260700389105,0.241
4710,269,220,365,408,3.0403117701524303,5.204460966542751,0.369
